"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"18/07/2022";"0000";"24,8";"25,7";"24,8";"40,0";"40,0";"37,0";"10,2";"10,2";"9,8";"920,8";"920,8";"920,3";"1,6";"75,0";"3,6";"";"0,0"
"18/07/2022";"0100";"23,5";"24,8";"23,5";"44,0";"44,0";"40,0";"10,5";"10,5";"10,2";"921,1";"921,1";"920,8";"0,2";"75,0";"2,8";"";"0,0"
"18/07/2022";"0200";"21,3";"23,5";"21,2";"55,0";"55,0";"44,0";"11,8";"11,8";"10,5";"921,4";"921,5";"921,1";"0,0";"85,0";"1,4";"";"0,0"
"18/07/2022";"0300";"23,3";"23,6";"21,3";"44,0";"55,0";"44,0";"10,4";"11,9";"10,4";"921,4";"921,5";"921,3";"2,1";"87,0";"5,0";"";"0,0"
"18/07/2022";"0400";"21,6";"23,3";"21,6";"48,0";"48,0";"44,0";"10,3";"10,5";"10,2";"921,4";"921,5";"921,2";"1,8";"94,0";"5,3";"";"0,0"
"18/07/2022";"0500";"21,0";"21,6";"20,9";"48,0";"49,0";"48,0";"9,5";"10,3";"9,5";"921,2";"921,5";"921,2";"1,9";"87,0";"5,2";"";"0,0"
"18/07/2022";"0600";"19,9";"21,0";"19,9";"51,0";"51,0";"48,0";"9,4";"9,5";"9,3";"921,0";"921,2";"920,9";"1,2";"80,0";"4,2";"";"0,0"
"18/07/2022";"0700";"19,0";"19,9";"18,9";"54,0";"54,0";"50,0";"9,4";"9,5";"9,2";"921,1";"921,1";"920,9";"0,5";"60,0";"3,0";"";"0,0"
"18/07/2022";"0800";"19,0";"19,2";"18,6";"54,0";"55,0";"53,0";"9,4";"9,5";"9,2";"920,8";"921,1";"920,8";"1,1";"67,0";"3,4";"";"0,0"
"18/07/2022";"0900";"18,4";"19,1";"18,2";"56,0";"57,0";"53,0";"9,6";"9,6";"9,3";"920,9";"920,9";"920,7";"2,3";"70,0";"4,5";"";"0,0"
"18/07/2022";"1000";"18,7";"19,0";"18,4";"55,0";"56,0";"54,0";"9,5";"9,6";"9,4";"921,3";"921,3";"920,9";"2,2";"79,0";"5,2";"";"0,0"
"18/07/2022";"1100";"19,1";"19,1";"18,4";"55,0";"57,0";"55,0";"9,9";"9,9";"9,5";"922,1";"922,1";"921,3";"2,2";"71,0";"4,7";"101,10";"0,0"
"18/07/2022";"1200";"21,5";"21,6";"19,1";"48,0";"55,0";"48,0";"10,1";"10,4";"9,8";"922,6";"922,6";"922,1";"2,4";"66,0";"5,8";"646,70";"0,0"
"18/07/2022";"1300";"23,8";"24,3";"21,5";"41,0";"48,0";"40,0";"9,6";"10,3";"9,3";"923,0";"923,1";"922,6";"2,5";"52,0";"6,0";"1718,60";"0,0"
"18/07/2022";"1400";"25,7";"26,2";"23,8";"34,0";"41,0";"34,0";"8,8";"10,0";"8,8";"923,1";"923,2";"923,0";"2,0";"44,0";"5,7";"2271,30";"0,0"
"18/07/2022";"1500";"26,6";"26,8";"25,0";"28,0";"36,0";"27,0";"6,6";"9,7";"6,0";"922,9";"923,2";"922,9";"4,0";"90,0";"8,6";"2604,20";"0,0"
"18/07/2022";"1600";"27,8";"28,1";"26,6";"27,0";"29,0";"26,0";"7,3";"7,7";"6,2";"921,9";"922,9";"921,9";"2,5";"56,0";"8,0";"2773,90";"0,0"
