"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"18/01/2024";"0000";"24,1";"24,5";"23,8";"70,0";"75,0";"69,0";"18,2";"19,3";"18,2";"917,1";"917,1";"916,8";"1,1";"128,0";"2,5";"";"0,0"
"18/01/2024";"0100";"23,8";"24,6";"23,8";"72,0";"73,0";"66,0";"18,5";"18,7";"17,8";"917,4";"917,5";"917,0";"0,1";"16,0";"3,3";"";"0,0"
"18/01/2024";"0200";"22,9";"23,8";"22,9";"78,0";"78,0";"73,0";"19,0";"19,0";"18,5";"917,5";"917,5";"917,3";"0,2";"340,0";"1,7";"";"0,0"
"18/01/2024";"0300";"22,8";"23,1";"22,7";"79,0";"80,0";"76,0";"18,9";"19,3";"18,6";"917,4";"917,7";"917,4";"0,0";"11,0";"1,6";"";"0,0"
"18/01/2024";"0400";"22,3";"22,8";"22,1";"80,0";"81,0";"79,0";"18,8";"18,9";"18,6";"916,9";"917,4";"916,9";"0,2";"134,0";"1,0";"";"0,0"
"18/01/2024";"0500";"22,8";"23,0";"21,9";"75,0";"82,0";"74,0";"18,1";"19,0";"18,1";"916,4";"916,9";"916,4";"1,1";"81,0";"2,5";"";"0,0"
"18/01/2024";"0600";"22,8";"23,1";"22,7";"73,0";"75,0";"72,0";"17,6";"18,1";"17,6";"916,1";"916,4";"916,1";"0,8";"157,0";"3,3";"";"0,0"
"18/01/2024";"0700";"22,4";"22,9";"21,8";"77,0";"80,0";"72,0";"18,2";"18,3";"17,6";"916,1";"916,1";"915,9";"0,5";"14,0";"1,8";"";"0,0"
"18/01/2024";"0800";"23,0";"23,1";"22,4";"75,0";"77,0";"73,0";"18,2";"18,2";"18,0";"915,8";"916,1";"915,8";"0,2";"41,0";"2,1";"";"0,0"
"18/01/2024";"0900";"22,7";"23,0";"22,6";"77,0";"78,0";"74,0";"18,4";"18,5";"18,1";"916,5";"916,5";"915,8";"0,1";"198,0";"1,7";"0,50";"0,0"
"18/01/2024";"1000";"23,3";"23,4";"22,6";"76,0";"78,0";"73,0";"18,9";"19,0";"18,3";"917,3";"917,3";"916,5";"0,5";"204,0";"1,5";"91,60";"0,0"
"18/01/2024";"1100";"23,9";"23,9";"23,0";"75,0";"78,0";"74,0";"19,2";"19,2";"18,7";"917,9";"918,0";"917,3";"0,0";"185,0";"2,9";"310,80";"0,0"
"18/01/2024";"1200";"26,0";"26,1";"23,9";"66,0";"75,0";"65,0";"19,1";"19,6";"18,4";"918,3";"918,3";"917,9";"0,6";"216,0";"3,0";"1027,00";"0,0"
"18/01/2024";"1300";"28,3";"28,8";"26,0";"56,0";"67,0";"55,0";"18,7";"19,8";"18,6";"918,6";"918,7";"918,3";"0,8";"358,0";"2,4";"2023,00";"0,0"
"18/01/2024";"1400";"29,2";"31,0";"28,1";"51,0";"57,0";"46,0";"17,9";"19,5";"17,4";"918,1";"918,6";"918,1";"1,4";"283,0";"3,8";"3016,40";"0,0"
"18/01/2024";"1500";"31,5";"31,5";"28,9";"45,0";"53,0";"45,0";"18,1";"18,9";"17,5";"917,6";"918,1";"917,6";"0,6";"261,0";"3,8";"1953,40";"0,0"
